Group,Shortname,Mode,Command,Shortcut,Comment,
Buffer,Delete Buffer,Normal,:bd,-,Closes the current buffer,
Buffer,Cycle Buffers,Normal,-,<Ctrl-6>,Cycles through buffers,
CSV,Arrange cols,Normal,:%ArrangeColumn!,-,Arranges all columns - ! forces recalculation,
CSV,Unarrange cols,Normal,:%UnArrangeColumn,-,Removes all trailing spaces - unarranges columns,
CSV,Sort,Normal,":n,mSort! c",-,Sort lines n to m by column c - ! for reverse sorting - unarrange before sorting,
Editing,Delete,Normal,d$,-,Delete from cursor till end of line,
Editing,Undo,Normal,-,u,Undo last edit,
Editing,Redo,Normal,-,<Ctrl-r>,Redo last edit,
External,Show translation,Normal,-,",l",Opens http://dict.leo.org for the current word under the cursor,
External,Open file or url,Normal,-,gu,Opens the file / url under the cursor,
Fileexplorer,WMToggle,Normal,:WMToggle,<Ctrl-w><Ctrl-t>,Opens / Closes Fileexplorer and Buffermanager,
Fileexplorer,Bufexplor,Normal,:BottomExplorerWindow,<Ctrl-w><Ctrl-b>,Set focus to Buffermanager,
Fileexplorer,Set working dir,Fileexplorer,-,c,Set the current shown directory in Fileexplorer as working directory,
Fileexplorer,Open file,Fileexplorer,-,S,Opens the file / url under the cursor in the fileexplorer,
Folding,Unfold,Normal,zR,-,Unfolds everything,
Format,Formats marked section,Visual,-,=,Formats the highlighted section e.g. ggvG= to format the whole file,
Git,Git status,Normal,:Gstatus,-,Shows the current status of the working tree,
Git,Git commit,Normal,:Gcommit,-,Commits the status of the working tree,
Git,Git push,Normal,:Git push,-,Calls "git push",
Git,Git add,Normal,:Git add .,-,Calls "git add .",
Help,Go back from tag,Help,-,<CTRL-o>,Go back after moving to tag,
Help,Move to tag,Help,-,<CTRL-]><Tab>,Go to tag under cursor,
Help,Show help,Normal,:h CTRL-?,-,Shows the help to a shortcut with CTRL,
Highlight,No Highlight,Normal,:nohl,-,Disables highlighting e.g. after a search,
Highlight,Highlight current line,Normal,:set cursorline,-,Highlights current line,
Mode,Change into visual mode,Normal,-,v,Changes into visual mode,
Navigation,Page up,Normal,-,<Ctrl-b>,Same as page up,
Navigation,Page down,Normal,-,<Ctrl-f>,Same as page down,
Navigation,Go to line,Normal,-,Ngg,Jumps to line N,
Navigation,Go to end of file,Normal,-,G,Jumps to end of file,
Navigation,Go to beginning of file,Normal,-,gg,Jumps to beginning of file,
OmniComplete,IntelliSense Move down,OmniComplete,-,<Ctrl-O>,Moves in the suggestionlist down,
OmniComplete,IntelliSense Move up,OmniComplete,-,<Ctrl-P>,Moves in the suggestionlist up,
Python,IntelliSense,Insert,-,<Ctrl-Space>,Open OmniComplete suggestions
Saving,Write,Normal,:w,-,Saves the current opened file,
Taglist,Open Taglist window,Normal,:TlistToggle,<F8>,Open the taglist window,
Window,Change Window,Normal,-,<Ctrl-w><Arrow>,Sets focus to window dependening on the arrow key,
Window,Resize Window,Normal,:vertical resize N,N <Ctrl-w> +,increase current window height N lines,
Window,Resize Window,Normal,:vertical resize -N,N <Ctrl-w> -,decrease current window height N lines,
Window,Close Window,Normal,:close,<Ctrl-w><Ctrl-c>,closes current window,
